,ID,SMILES,Mutagenicity
0,ref3_0,"CC(=O)NC1=C(C=CC(=C1)N(C COC(=O)C)CCOC(=O)C)N=NC 2=C(C=C(C=C2)[N+](=O)[O-
])Cl",1
1,ref3_1,C1=CC=C(C=C1)CCN(CCC#N) C2=CC=C(C=C2)N=NC3=C(C= C(C=C3)[N+](=O)[O-])Cl,1
2,ref3_2,"[O-
][N+](=O)c2ccc(/N=N/c1ccc(N( CCOC(=O)C)CCC#N)cc1)cc2",1
3,ref3_3,COC(=O)C(CCl)Cl,1
4,ref3_4,COC(=O)C(CSC(=N)N)Cl.Cl,1
5,ref3_5,"[Na+].[Na+].[Na+].[Na+].COC1
=C(C=CC(=C1)C1=CC(OC)=C( C=C1)\N=N\C1=C(C=C2C(C=C C(NC3=CC=CC=C3)=C2\N=N\ C2=C(C=CC(=C2)S([O-",1
6,ref3_6,[Na+].[Na+].[Na+].COC1=C(C= CC(=C1)C1=CC(OC)=C(C=C1)\ N=N\C1=C(C=C2C(C=CC(N)=C 2\N=N\C2=C(C=C(C=C2)[N+]([ O-])=O)C([O-])=O)=C1O)S([O-,1
7,ref3_7,"C1=CC(=C(C=C1[N+](=O)[O-
])C(=O)O)N/N=C\2/C(=CC=C3 C2=CC(=CC3=O)S(=O)(=O)[O-
])N.[Na+]",1
8,ref3_8,COC(=O)C(=C)Cl,1
9,ref3_9,C[C@H](CCl)C(=O)Cl,1
10,ref3_10,[H][C@@](C)(CCl)C(O)=O,1
11,ref3_11,"COC(=O)C1=C(C=CC(=C1)OC2
=C(C=C(C=C2)Cl)Cl)[N+](=O)[ O-]",1
12,ref3_12,C1=CC(=C(C=C1C2=CC(=C(C= C2)N)N)N)N,1
13,ref3_13,C\C=N\CCN,1
14,ref3_14,COC1=CC=C(C=C1)CCCl,1
15,ref3_15,C1=CC(=CC(=C1)N)C(=O)C2= CC(=CC=C2)N,1
16,ref3_16,CC(C)(C)C1=CC=C(C=C1)C(= O)NC1=CC(Cl)=C(C=C1O)[N+] ([O-])=O,1
17,ref3_17,"CN1C2=CC=CC=C2C3=CC=CC
=C31",1
18,ref3_18,CC1(CC(=O)OO1)OO,1
19,ref3_19,CCCOC1=CC=C(C=C1)C2=C3 C=C4C(=C(C(=O)O4)C5=CC=C C=C5)C=C3OC2=O,1
20,ref3_20,C1C=CCC2C1C(=O)N(C2=O)C C3CO3,1
21,ref3_21,CC(=O)OCC1CO1,1
22,ref3_22,C1=CC(=C(C=C1Cl)Cl)C(=O)C 2=C(C=C(C=C2)Cl)Cl,1
23,ref3_23,"C1=CC(=C(C(=C1[N+](=O)[O-
])Cl)F)Cl",1
24,ref3_24,C1C(C(O1)(F)F)(F)F,1
25,ref3_25,"C1C(N=C(S1)N=C(N)N)(CCl)O.
Cl",1
26,ref3_26,"C1=CC(=C(C(=C1[N+](=O)[O-
])F)F)F",1
27,ref3_27,"CC(C)C(C1(CCCC(C1=O)(Cl)Cl
)Cl)Cl",1
28,ref3_28,"CC(C)(C)CC(C)(C)C1=CC=C(C
=C1)OC2=C(C=C3C(=C2)N=C( O3)C(C)(C)C)[N+](=O)[O-]",1
29,ref3_29,"CC(=O)NC1=NC(=C(C=C1)[N+
](=O)[O-])Cl",1
30,ref3_30,C1=CC(=C(C(=C1)Cl)F)[N+](= O)[O-],1
31,ref3_31,"CCN(CC)C1=CC(C)=C(C=C1)\ N=N\C1=C(C=C(C=C1C#N)[N+
]([O-])=O)C#N",1
32,ref3_32,CC(C)(C)C1=NC2=CC(=C(C=C 2O1)[N+](=O)[O-])Cl,1
33,ref3_33,CC(N)C(OS(O)(=O)=O)C1=CC= C(Cl)C=C1,1
34,ref3_34,COC1=CC=CC(=C1)/C=C/C2=C C=CC=C2O,1
35,ref3_35,C1=CC=C(C(=C1)C(=O)C2=C( C=CC(=C2)[N+](=O)[O-])N)Cl,1
36,ref3_36,"C1=C(C=C(C(=C1Br)N)C(=S)N)
Br",1
37,ref3_37,"C1=C(C=C(C2=NSC(=C21)N)Br
)Br",1
38,ref3_38,ClC\C=C(\CCl)[Si](Cl)(Cl)Cl,1
39,ref3_39,"C1=C(C(=CC(=C1[N+](=O)[O-
])Cl)Cl)C(F)(F)F",1
40,ref3_40,"C1C(=O)N=C(N1/N=C/C2=CC= C(O2)C3=CC=C(C=C3)[N+](=O
)[O-])[O-].[Na+]",1
41,ref3_41,COC(=O)CO/N=C(/C(=O)CCl)\ C(=O)O,1
42,ref3_42,N(F)(F)F,1
43,ref3_43,O=C(OCC1CO1)C1=CC=C(C=C 1)C(=O)OCC1CO1,1
44,ref3_44,"ClC(Cl)(Cl)C(=O)NNC(=O)\C=C
\C1=CC2=C(O1)C=CC=C2",1
45,ref3_45,ClC(Cl)(Cl)C1=NN=C(O1)\C=C\ C1=CC2=CC=CC=C2O1,1
