,ID,SMILES,Mutagenicity
0,ref1_0,O=C1c2ccccc2C(=O)c3c1ccc4c3[nH]c5c6C(=O)c7ccccc7C(=O)c6c8[nH]c9c%10C(=O)c%11ccccc%11C(=O)c%10ccc9c8c45 ,0
1,ref1_1,NNC(=O)CNC(=O)\C=N\#N ,1
2,ref1_2,O=C1NC(=O)\C(=N/#N)\C=N1 ,1
3,ref1_3,NC(=O)CNC(=O)\C=N\#N ,1
4,ref1_4,CCCCN(CC(O)C1=C\C(=N/#N)\C(=O)C=C1)N=O ,1
5,ref1_5,NC(COC(=O)\C=N/#N)C(=O)O ,1
6,ref1_6,CCN(CC(O)C1=CC(=O)\C(=N\#N)\C=C1)N=O ,1
7,ref1_7,CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC12C)C(=O)C ,0
8,ref1_8,Nc1nc(N)nc(N)n1 ,0
9,ref1_9,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(c1)[N+](=O)[O-] ,1
10,ref1_10,CC(C)CC(=O)Nc1snc2ccccc12 ,0
11,ref1_11,Cc1cccc(c1C)[N+](=O)[O-] ,1
12,ref1_12,CCCCCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4C3CCC12C)C#C ,0
13,ref1_13,CCC[N+](=O)[O-] ,0
14,ref1_14,OC(=O)c1cc(cc2cccnc12)[N+](=O)[O-] ,1
15,ref1_15,OC1C=Cc2c(ccc3c(Br)c4ccccc4cc23)C1O ,1
16,ref1_16,NC(=O)Nc1nc2ccccc2[nH]1 ,1
17,ref1_17,C[C@@H](O)CCC(=O)c1cocc1 ,0
18,ref1_18,Nc1ccc2c(oc3ccccc23)c1 ,1
19,ref1_19,Cc1ccc2ccc3ccc(C)cc3c2c1 ,1
20,ref1_20,Cc1cc2c(nc(N)n2C)c3ncc(nc13)c4ccccc4 ,1
21,ref1_21,CCN(N=O)\C(=N\O)\C=O ,1
22,ref1_22,NNc1nnc(NN)c2ccccc12 ,1
23,ref1_23,C=CC(=O)NCNC(=O)C=C ,1
24,ref1_24,OCc1cc2c3ccccc3c4cccc(c1)c24 ,0
25,ref1_25,Cc1ccccc1c2ccccc2 ,0
26,ref1_26,CC1C2C3C(C)C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C35C1C(=O)C68C(=O)c9c(O)cc(C)cc9C(=O)C248 ,0
27,ref1_27,Cc1nc(N)nc(N)n1 ,0
28,ref1_28,CCNc1nc(N)nc(Cl)n1 ,0
29,ref1_29,C1CCC(CC1)N2C3C2c4ccccc4c5ccccc35 ,1
30,ref1_30,CCCCB(CCCC)CCCC ,1
31,ref1_31,CC(=O)NC(CSC(=C(Cl)Cl)Cl)C(=O)O ,1
32,ref1_32,CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)C[C@@H]12 ,1
33,ref1_33,CCNN=NCC ,1
34,ref1_34,Oc1cccc(c1)[N+](=O)[O-] ,1
35,ref1_35,[O-][N+](=O)c1ccc2c(c1)c3cccc4cccc2c34 ,1
36,ref1_36,OCc1occc1 ,0
37,ref1_37,C(Cc1ccc(cc1)c2ccccc2)[C@H]3CO3 ,1
38,ref1_38,Oc1cc2c3ccccc3ccc2c4ccccc14 ,1
39,ref1_39,Oc1ccc2ccccc2c1N=Nc3ccccc3 ,1
40,ref1_40,N[C@@H]1CC[C@@H](C[C@@H]2CC[C@@H](N)CC2)CC1 ,0
41,ref1_41,COC(=O)C12CC1(C=O)C(=CC3CC(C)(C)CC23)C=O ,1
42,ref1_42,CCOC(=O)C(C)Br ,1
43,ref1_43,COC1(CCCC1)OC2CCC3C4CCC5CC6SC6CC5(C)C4CCC23C ,0
44,ref1_44,CCN(CCCl)CCCNc1c2CCCCc2nc3ccccc13 ,1
45,ref1_45,C\C(=C/C(=C/C1=CCOC1=O)/C)\C=C\C=C(/C)\C(=O)C23OC2C(O)(CCO)NC3=O ,1
46,ref1_46,CCO[P@](=S)(CC)Sc1ccccc1 ,0
47,ref1_47,Nc1ccc(c(N)c1)[N+](=O)[O-] ,1
48,ref1_48,CCSCCSP(=O)(OC)OC ,0
49,ref1_49,Cc1ccccc1C(=O)O ,0
50,ref1_50,CC(=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C)C ,1
51,ref1_51,Brc1ccccc1 ,0
52,ref1_52,Cc1cc(N)c(cc1Cl)S(=O)(=O)O ,0
53,ref1_53,Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1 ,0
54,ref1_54,CN(C)CCNC(=O)c1cccc2C(=O)c3ccccc3C(=O)c12 ,1
55,ref1_55,Nc1snc2c(Cl)cc(Cl)cc12 ,1
56,ref1_56,ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(CC2(Cl)Cl)C(Cl)Cl ,0
57,ref1_57,Cc1cc(O)c2C(=O)c3c(O)cc(O)c(c3C(=O)c2c1)c4c(O)cc(O)c5C(=O)c6c(O)cc(C)cc6C(=O)c45 ,0
58,ref1_58,COCCl ,0
59,ref1_59,O=NN1CCOCC1 ,1
60,ref1_60,Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1 ,1
61,ref1_61,Nc1ccc(Nc2ccccc2)cc1 ,0
62,ref1_62,CCCCCOC(=O)C(=C)C ,0
63,ref1_63,OC(=O)c1ccccc1 ,0
64,ref1_64,Nc1ncnc2c1ncn2Cc3ccc(cc3)[N+](=O)[O-] ,1
65,ref1_65,C1c2cccc3ccc4cccc1c4c23 ,1
66,ref1_66,Fc1ccccc1c2ccccc2 ,0
67,ref1_67,Clc1ccc(cc1Cl)c2ccc(Cl)c(Cl)c2Cl ,0
68,ref1_68,CC(=CCc1ccc(O)c2C(=O)c3c(O)c4c(OC5OC=CC45O)cc3Oc12)C ,1
69,ref1_69,CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C ,0
70,ref1_70,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C ,0
71,ref1_71,Nc1ccc2ccccc2c1N=Nc3ccc(cc3)[N+](=O)[O-] ,1
72,ref1_72,COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO ,1
73,ref1_73,Oc1ccc(Cc2ccccc2O)cc1 ,0
74,ref1_74,COC(C)CCO ,0
75,ref1_75,CC(=O)N(O)c1ccc(Oc2ccccc2)cc1 ,1
76,ref1_76,CC(C)(c1ccc(OP(O)O)cc1)c2ccc(OP(O)O)cc2 ,0
77,ref1_77,CCCCCCCC(=O)Cl ,1
78,ref1_78,CC(C)(C)C(Br)C(=O)Nc1ccccc1 ,0
79,ref1_79,CCN(CC)CCNc1ccc2nc(C)n3c4ccc(O)cc4C(=O)c1c23 ,1
80,ref1_80,CCNC(=O)Nc1ncc(s1)[N+](=O)[O-] ,1
81,ref1_81,COc1ccc(O)c2C(=O)c3c(OC)cc4O[C@@H]5OC=C[C@H]5c4c3Oc12 ,1
82,ref1_82,[O-][N+](=O)c1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl ,1
83,ref1_83,COC(=O)C(=C)C ,0
84,ref1_84,Oc1ccc2c3ccc(O)c4C(=O)C=C[C@@](O)([C@@H]5[C@H]6O[C@H]6C(=O)c1c25)c34 ,1
85,ref1_85,COC(=O)N ,0
86,ref1_86,Cc1cc(C)n(n1)c2[nH]nc(NN)c3c4ccccc4nc23 ,0
87,ref1_87,Fc1cnc2ccc3cccnc3c2c1 ,1
88,ref1_88,SC(NC(=O)NC(S)c1nc2ccccc2s1)c3nc4ccccc4s3 ,1
89,ref1_89,Cc1c2ccccc2c(CBr)c3ccccc13 ,1
90,ref1_90,Nc1cccc2cc3CCCCc3nc12 ,1
91,ref1_91,COC(=O)C=C ,0
92,ref1_92,CC(=O)Nc1c(O)cc2c3ccccc3c4cccc1c24 ,1
93,ref1_93,OC1Cc2cc3ccc4cccc5ccc(c2C=C1)c3c45 ,1
94,ref1_94,Oc1ccc2c(c1)c3ccc(c4cccc2c34)[N+](=O)[O-] ,1
95,ref1_95,OC1C=Cc2cc3ccccc3c(c2C1O)[N+](=O)[O-] ,0
96,ref1_96,Cc1ccc(N=Nc2c(O)c(cc3ccccc23)C(=O)O)c(c1)S(=O)(=O)O ,0
97,ref1_97,CN=C1C=CC(=C(c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C)C=C1 ,0
98,ref1_98,CCCCN(COC(=O)C)N=O ,1
99,ref1_99,C1CCC2=C(C1)c3cc4ccccc4c5cc6ccccc6c2c35 ,1
100,ref1_100,NP(=O)(OCCC(=O)O)N(CCCl)CCCl ,1
101,ref1_101,Nc1c(O)cc(Cc2cc(Cl)c(N)c(OS(=O)(=O)O)c2)cc1Cl ,0
102,ref1_102,C1CSCCO1 ,0
103,ref1_103,Cc1ccccc1N ,1
104,ref1_104,O=C1c2ccccc2c3ccccc13 ,0
105,ref1_105,C1CCCC2OC2CC1 ,0
106,ref1_106,C1Cc2c(C=C1)ccc3nc4ccc5ccccc5c4cc23 ,1
107,ref1_107,CS(=O)(=O)Nc1ccc(Nc2c3ccc(cc3nc4ccc(cc24)N=N#N)N=N#N)cc1 ,0
108,ref1_108,CN(C)CCN(Cc1ccccc1)c2ccccn2 ,0
109,ref1_109,C\C=C(/Cl)\C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O ,1
110,ref1_110,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O ,0
111,ref1_111,CCNc1ccccc1 ,0
112,ref1_112,Nc1ccccc1SCCSc2ccccc2N ,1
113,ref1_113,ONC(=O)c1ccccc1O ,1
114,ref1_114,Nc1c(O)cccc1[N+](=O)[O-] ,0
115,ref1_115,CC(C)(C)c1ccc(\C=C\c2ccc(N)cc2)cc1 ,0
116,ref1_116,OC(=O)C[C@H]([C@H](CC(=O)O)C(=O)O)C(=O)O ,1
117,ref1_117,C1Cc2cccc3cccc1c23 ,0
118,ref1_118,CN(C)CCCNc1c2ccccc2nc3c(ccc(c13)[N+](=O)[O-])N(CCO)CCO ,1
119,ref1_119,CCCCOc1ccc(cc1)N=O ,1
120,ref1_120,Cc1cc(c(N)cc1Cl)S(=O)(=O)O ,1
121,ref1_121,COC(=O)C1=CCCN(C)C1 ,1
122,ref1_122,CNC(=O)ON ,1
123,ref1_123,OC(=O)C=C ,0
124,ref1_124,OC(=O)CC(=O)O ,0
125,ref1_125,CCCCC=O ,0
126,ref1_126,O=Nc1ccccc1c2ccccc2 ,1
127,ref1_127,CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)c5nccc(O)n5 ,0
128,ref1_128,CSC(C)(C)C(=O)NC(CS)C(=O)O ,0
129,ref1_129,C[n+]1ccc(cc1)c2cc[n+](C)cc2 ,0
130,ref1_130,OC(CN=N#N)C(O)C(O)C(O)C=O ,1
131,ref1_131,CCCCCNc1snc2ccccc12 ,0
132,ref1_132,CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC ,0
133,ref1_133,Cc1ccc(cc1S(=O)(=O)O)[N+](=O)[O-] ,0
134,ref1_134,OS(=O)(=O)c1cccc(c1)[N+](=O)[O-] ,0
