,ID,Canonical_QSARr,very_toxic,nontoxic,LD50_mgkg,EPA_category,GHS_category
0,ref1_0,[O-][N+](=O)C1C=CC(Cl)=CC=1,False,False,460.0,2.0,4.0
1,ref1_1,NC1=CC=C(C=C1)[N+]([O-])=O,False,False,750.0,3.0,4.0
2,ref1_2,[O-][N+](=O)C1C=CC(O)=CC=1,False,False,170.0,2.0,3.0
3,ref1_3,[O-][N+](=O)C1C=CC(CCl)=CC=1,False,False,1809.0,3.0,4.0
4,ref1_4,CNC1C=CC(=CC=1)[N+]([O-])=O,False,True,,3.0,5.0
5,ref1_5,COC1C=CC(=CC=1)[N+]([O-])=O,False,True,2300.0,3.0,5.0
6,ref1_6,CC(C)C1C=CC(=CC=1)C(C)C,False,True,,3.0,5.0
7,ref1_7,O=C(Cl)C1C=CC(=CC=1)C(=O)Cl,False,True,2500.0,3.0,5.0
8,ref1_8,OC(=O)C1C=CC(=CC=1)C(O)=O,False,False,1960.0,3.0,4.0
9,ref1_9,[O-][N+](=O)C1C=CC(=CC=1)N=C=O,False,False,1600.0,3.0,4.0
10,ref1_10,CCOC1C=CC(=CC=1)[N+]([O-])=O,False,True,3300.0,3.0,5.0
11,ref1_11,CCN(CCCl)CC,True,False,17.0,1.0,2.0
12,ref1_12,CCN(CCN)CC,False,True,2830.0,3.0,5.0
13,ref1_13,CCN(CCO)CC,False,False,1300.0,3.0,4.0
14,ref1_14,C=CC1CC=CCC1,False,False,1600.0,3.0,4.0
15,ref1_15,C=CC1C=CC=CC=1,False,False,1000.0,3.0,4.0
16,ref1_16,ClCC1C=CC=CC=1,False,False,440.0,2.0,4.0
17,ref1_17,N#CC1CC=CCC1,False,False,460.0,2.0,4.0
18,ref1_18,OCC1C=CC=CC=1,False,False,1230.0,3.0,4.0
19,ref1_19,O=CC1C=CC=CC=1,False,False,1300.0,3.0,4.0
20,ref1_20,SCC1C=CC=CC=1,False,False,493.0,2.0,4.0
21,ref1_21,N#CC1=CN=CC=C1,False,False,1185.0,3.0,4.0
22,ref1_22,CNC1CCCCC1,False,False,400.0,2.0,4.0
23,ref1_23,CNC1C=CC=CC=1,False,False,716.0,3.0,4.0
24,ref1_24,NNC1C=CC=CC=1,False,False,188.0,2.0,3.0
25,ref1_25,ONC1C=CC=CC=1,False,False,100.0,2.0,3.0
26,ref1_26,COC1C=CC=CC=1,False,True,3700.0,3.0,5.0
27,ref1_27,CSC1C=CC=CC=1,False,False,891.0,3.0,4.0
28,ref1_28,C=CC1=CC=CC=N1,False,False,100.0,2.0,3.0
29,ref1_29,O=CC1CCC=CO1,False,True,4920.0,3.0,5.0
30,ref1_30,CCN1CCOCC1,False,False,1780.0,3.0,4.0
31,ref1_31,CC(C)(O)CC1C=CC=CC=1,False,False,1280.0,3.0,4.0
32,ref1_32,OS(=O)(=O)CC1C=CC=CC=1,False,False,,3.0,4.0
33,ref1_33,CC1(C)CC(C)OB(O1)OC(C)(C)CC(C)OB1OC(C)(C)CC(C)O1,False,True,4724.0,3.0,5.0
34,ref1_34,CCCCCCCCCCCC/N=C(\O)/C[N+](C)(C)CC1C=CC=CC=1,False,False,100.0,2.0,3.0
35,ref1_35,C1N2CN3CN1CN(C2)C3,False,True,9200.0,4.0,5.0
36,ref1_36,C[Si](C)(C)N=C=N[Si](C)(C)C,False,False,1728.0,3.0,4.0
37,ref1_37,CC1=CC(=O)NO1,False,True,3112.0,3.0,5.0
